City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Songkhla,TH,84.25,overcast clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
Opuwo,,87.12,clear sky,-18.0607,13.84,ABBA Guesthouse
Tinaquillo,VE,75.27,scattered clouds,9.9186,-68.3047,Hotel Los Copihues
Ligayan,PH,85.06,broken clouds,4.6533,119.4706,
Sterling,US,70.21,mist,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
Yaan,NG,76.98,moderate rain,7.3833,8.5667,
Warri,NG,83.12,moderate rain,5.5167,5.75,GT Guesthouse
Filadelfia,US,72.01,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
Wajima,JP,81.54,moderate rain,37.4,136.9,Wajiima Onsen Yashio
Vedasandur,IN,83.68,overcast clouds,10.5333,77.95,Dolphin hotel vedasandur
Khed Brahma,IN,82.89,broken clouds,24.0333,73.05,UMIYA NASTA HOUSE
Moerai,PF,73.22,clear sky,-22.4333,-151.3333,Le Manotel
Alcudia,ES,86.2,scattered clouds,39.8532,3.1214,Zafiro Tropic
Yairipok,IN,72.05,clear sky,24.6667,94.0667,Ningthounai
Meulaboh,ID,78.98,overcast clouds,4.1363,96.1285,Kost Pria
Karratha,AU,75.22,clear sky,-20.7377,116.8463,ibis Styles Karratha
Villaviciosa,ES,76.6,broken clouds,43.4813,-5.4357,Hotel Carlos I
Banda Aceh,ID,80.6,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
Labuan,MY,75.56,moderate rain,5.2767,115.2417,Tiara Labuan Hotel
Naifaru,MV,81.43,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
Shibganj,BD,82.15,clear sky,24.6829,88.1598,ICT Abedin
Ouro Preto Do Oeste,BR,88.66,scattered clouds,-10.7481,-62.2158,Graúna Resort Hotel
Pafos,CY,83.98,few clouds,34.7667,32.4167,Elysium Hotel
